,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
932,2020-02-22,Carleton College,66,1316,"Score(team_a=13, team_b=2)",Macalester,178.0,491.0,825.0,12.692307692307692
933,2020-02-22,Carleton College,1,2521,"Score(team_a=6, team_b=7)",St Olaf,78.0,1239.0,1282.0,-2.142857142857143
934,2020-02-22,Carleton College,66,1316,"Score(team_a=6, team_b=7)",St Olaf,78.0,1239.0,77.0,-2.142857142857143
939,2020-03-07,Carleton College,1,2521,"Score(team_a=10, team_b=1)",Nebraska,205.0,228.0,2293.0,13.5
940,2020-03-07,Carleton College,66,1316,"Score(team_a=10, team_b=1)",Nebraska,205.0,228.0,1088.0,13.5
941,2020-03-07,Carleton College,1,2521,"Score(team_a=12, team_b=2)",Wisconsin,19.0,1943.0,578.0,12.5
942,2020-03-07,Carleton College,1,2521,"Score(team_a=12, team_b=2)",Wisconsin,221.0,22.0,2499.0,12.5
944,2020-03-07,Carleton College,66,1316,"Score(team_a=12, team_b=2)",Wisconsin,221.0,22.0,1294.0,12.5
945,2020-03-07,Carleton College,1,2521,"Score(team_a=7, team_b=8)",Chicago,44.0,1526.0,995.0,-1.875
947,2020-03-07,Carleton College,1,2521,"Score(team_a=4, team_b=9)",Northwestern,22.0,1802.0,719.0,-8.333333333333334
949,2020-03-08,Carleton College,1,2521,"Score(team_a=12, team_b=5)",Iowa State,114.0,951.0,1570.0,8.75
950,2020-03-08,Carleton College,66,1316,"Score(team_a=12, team_b=5)",Iowa State,114.0,951.0,365.0,8.75
951,2020-03-08,Carleton College,1,2521,"Score(team_a=8, team_b=7)",Purdue,70.0,1291.0,1230.0,1.875
952,2020-03-08,Carleton College,66,1316,"Score(team_a=8, team_b=7)",Purdue,70.0,1291.0,25.0,1.875
953,2020-03-08,Carleton College,1,2521,"Score(team_a=5, team_b=6)",Washington University,59.0,1377.0,1144.0,-2.5
955,2020-03-08,Carleton College,1,2521,"Score(team_a=7, team_b=6)",St Olaf,78.0,1239.0,1282.0,2.142857142857143
956,2020-03-08,Carleton College,66,1316,"Score(team_a=7, team_b=6)",St Olaf,78.0,1239.0,77.0,2.142857142857143
957,2020-02-15,Virginia Tech,67,1299,"Score(team_a=13, team_b=4)",Franciscan,227.0,-35.0,1334.0,10.384615384615383
959,2020-02-15,Virginia Tech,67,1299,"Score(team_a=9, team_b=6)",Boston College,83.0,1208.0,91.0,5.0
960,2020-02-16,Virginia Tech,67,1299,"Score(team_a=13, team_b=7)",Swarthmore,115.0,950.0,349.0,6.9230769230769225
962,2020-02-16,Virginia Tech,67,1299,"Score(team_a=7, team_b=9)",Temple,80.0,1235.0,64.0,-3.3333333333333335
963,2020-02-16,Virginia Tech,67,1299,"Score(team_a=9, team_b=8)",Boston College,83.0,1208.0,91.0,1.6666666666666667
964,2020-02-29,Virginia Tech,67,1299,"Score(team_a=5, team_b=7)",Georgia College,149.0,715.0,584.0,-4.285714285714286
965,2020-02-29,Virginia Tech,67,1299,"Score(team_a=7, team_b=4)",Kentucky,92.0,1112.0,187.0,6.428571428571429
967,2020-02-29,Virginia Tech,67,1299,"Score(team_a=11, team_b=6)",Alabama-Huntsville,124.0,909.0,390.0,6.8181818181818175
968,2020-03-01,Virginia Tech,67,1299,"Score(team_a=13, team_b=12)",Purdue,70.0,1291.0,8.0,1.1538461538461537
971,2020-02-22,Truman State,68,1296,"Score(team_a=12, team_b=11)",John Brown,131.0,858.0,438.0,1.25
972,2020-02-22,Truman State,68,1296,"Score(team_a=11, team_b=4)",Nebraska,205.0,228.0,1068.0,9.545454545454545
974,2020-02-23,Truman State,68,1296,"Score(team_a=13, team_b=6)",Grinnell,192.0,343.0,953.0,8.076923076923077
975,2020-02-23,Truman State,68,1296,"Score(team_a=12, team_b=4)",Air Force,165.0,571.0,725.0,10.0
976,2020-02-23,Truman State,68,1296,"Score(team_a=12, team_b=5)",Denver,116.0,949.0,347.0,8.75
978,2020-03-07,Truman State,68,1296,"Score(team_a=12, team_b=2)",Luther,200.0,273.0,1023.0,12.5
980,2020-03-07,Truman State,68,1296,"Score(team_a=11, team_b=4)",Minnesota-Duluth,189.0,392.0,904.0,9.545454545454545
